,CCSA,ICSA,JTSJOL,MANEMP,PAYEMS,TEMPHELPS,UNRATE,AWHMAN,TCU,NEWORDER,DGORDER,IPMAN,INDPRO,UMCSENT,DSPIC96,W875RX1,CMRMTSPL,PCEC96,RSAFS,PERMIT,TTLCONS,HOUST,HSN1F,BAA10Y,NFCI,STLFSI4,BAMLH0A0HYM2,VIXCLS,T10Y2Y,T10Y3M
1974-12-31,-0.8180237488734068,-0.6921241018896166,,-1.5172165602671361,-0.8710084948504401,,-1.6187845734852424,-2.1455008108902285,-0.2413670867379891,,,-2.252152183223568,-2.2429418737673936,,-2.0188055176634876,-2.6570479166201233,-2.5745920746789834,,,-1.577653437514735,,-1.7551010626198145,-1.1025493198041885,,-2.575202171645157,,,,,
1975-01-31,-0.802357532193149,-0.6065026926045726,,-1.9915909613545026,-1.112882443957111,,-2.108858871509043,-2.150675727889837,-0.5517950946544592,,,-2.4769952439880996,-2.389547552401336,,-1.772677853537821,-2.3197487892692066,-2.6493348921964053,,,-2.1575105383261737,,-1.4244731424249217,-1.1425185840056082,,-2.054553280317775,,,,,
1975-02-28,-0.8748846240067787,-0.5665816436416513,,-2.414939794623937,-1.4105814115305153,,-2.0388482575056424,-2.479909622867041,-1.0324757991010693,,,-2.8833143980239395,-2.780224757882867,-1.9022308392291265,-1.474951613551163,-2.247013051776017,-2.6835029964046098,,,-2.199799663669189,,-2.317257172008077,-1.2044273001992483,,-1.352253548657212,,,,,
1975-03-31,-0.9987331936546755,-0.6079020291017886,,-2.603964989397042,-1.5861926546229292,,-2.458911941526043,-2.6419263026553335,-1.2761608984507324,,,-3.1078141114317437,-2.996727669674602,,-1.177632176559833,-1.9807959723185904,-3.4100429765010327,,,-2.3957326128057215,,-1.7566560961539506,-0.9515053411781043,,-0.8433806428410846,,,,,
1975-04-30,-1.1436919617256525,-0.6435650969128606,,-2.747122369823939,-1.7395809191317289,,-2.598933169532844,-0.8782004214156964,-1.2615402992696212,,,-3.0288063882689973,-2.8962070763379955,,-0.475663648104846,-1.832924922820328,-3.042399391813935,,,-1.506309573730975,,-1.8169957557163778,-0.1367253137512507,,-0.43948939509337553,,,,,
1975-05-31,-1.215077696232097,-0.5360633633797889,,-2.747802032126759,-1.7389651632773748,,-2.7389543975396435,-2.1611026077997533,-1.35268465846279,,,-3.1819586603377017,-3.109687082723386,-0.7938145306165786,1.7351679310639467,-1.652693586974926,-3.141334289094556,,,-1.0012103416084477,,-1.0820800756550895,-0.22009466995877477,,-0.05574259915640831,,,,,
1975-06-30,-1.0821081439301643,-0.48488237888778385,,-2.834216170918826,-1.8269946510486137,,-2.3889013275226434,-1.677886755258331,-1.2640235206210055,,,-3.054914818547087,-2.9564958712931513,,0.473942951618255,-1.556004771598796,-2.8738808613683475,,,-0.6964497863004583,,-1.3915213729039115,0.08605850015460816,,0.14930988046935167,,,,,
1975-07-31,-0.9138108507792322,-0.3057885828151295,,-2.8067106882460924,-1.7046264102339195,,-2.178869485512443,-1.19226084858952,-1.0963807404091541,,,-2.8124187632524196,-2.7975027597307913,,-0.26594340893537755,-1.6031648892074715,-2.716676329019927,,,-0.037432962205094726,,-0.4168038378036766,0.1975357910619706,,0.16634747652818804,,,,,
1975-08-31,-0.769553752644285,-0.20928851095243586,,-2.4712914589415966,-1.4801189257079157,,-2.0388482575056432,-0.8637730906504971,-0.9404699141329305,,,-2.477617114688446,-2.3986203152496834,-0.5823403664733946,0.0383457365249238,-1.215929412106173,-2.245323003141884,,,0.25872308854865356,,0.36836546894477384,0.61852117013896,,0.11363114989908257,,,,,
1975-09-30,-0.6503561911423994,-0.12615279902103235,,-2.243594521906524,-1.433013654197005,,-1.7588058014920427,-0.37693311921502004,-0.7255699112646262,,,-2.202530741012918,-2.144365861859118,,0.17075750599609268,-1.0536708933139898,-2.001456646098775,,,1.0784573318930424,,0.3491745215101665,0.3092494167347915,,-0.008788988841321042,,,,,
